yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
    0,   2.8010,   1.9831,  14.5884,   1.4700,  48.1216,   4.0622,  34.5112,   4.6553,  79.9334, 7.8213e+03,   803,  1.00963 
    1,   2.8050,   7.4835,  22.1001,  -2.7893,  32.1783, 130.1150,  82.6683, 130.7803, 261.4742, 6.8897e+03,   803,  1.01001 
    2,   2.8090,   9.1036,  21.5202,  -4.2293,  48.0408,  13.5471,  17.8601,  14.1156,  58.2610, 6.9355e+03,   803,  0.93723 
    3,   2.8130,   6.9670,  17.8380,  -0.6873,  73.2918,   2.8101,   9.9279,   3.2708, 234.1464, 8.4696e+03,   803,  1.00266 
    4,   2.8170,   5.2731,  15.1399,   0.6021, 101.6991,   1.2105,   7.2184,   1.3338, 222.7222, 6.2012e+03,   803,  0.71871 
    5,   2.8210,   3.9685,  14.6847,   1.0118,  60.4223,   2.3044,  12.9529,   2.7197, 103.8398, 6.7047e+03,   803,  0.72961 
    6,   2.8250,   8.3528,   5.7572,   1.2993, 130.2031,   2.6701,   2.1912,   0.4834,  78.4480, 7.2603e+03,   803,  1.11801 
    7,   2.8290,   5.7747,   6.2853,   1.4460,  85.7921,   2.3844,   3.5208,   0.6626,  46.8196, 7.3006e+03,   803,  0.78497 
    8,   2.8330,   5.0468,  11.1891,   0.9022, 102.6010,   1.3614,   6.0449,   0.9987, 128.2994, 7.9737e+03,   803,  1.14493 
    9,   2.8370,   2.9979,  23.4305,   0.7679,  68.5934,   6.3564,  40.0184,   6.8406, 312.5393, 6.9022e+03,   803,  1.01398 
   10,   2.8410,   5.3912,  33.3463,  -1.9212,  39.3499, 1623.6280, 865.5052, 1624.1630, 2668.8282, 6.5550e+03,   803,  1.31912 
   12,   2.8490,   4.3547,  22.2438,  -0.1281,  50.0071,  14.5154,  41.4635,  15.1179, 2175.6563, 8.1393e+03,   803,  1.22899 
   13,   2.8530,   3.8389,  16.2551,   0.2806,  47.4263,   5.0927,  20.0427,   5.6426, 451.3149, 6.2107e+03,   803,  1.05001 
   14,   2.8570,   5.4109,  12.6287,   0.6906,  67.2366,   1.6231,   7.4519,   1.8332, 136.3913, 7.4059e+03,   803,  1.05878 
   15,   2.8610,   6.6028,  25.0431,  -1.7041,  23.4617, 29068.9497, 3530.3963, 29068.1196, 13316.2339, 9.0834e+03,   803,  0.85509 
   16,   2.8650,   5.6373,  29.1572,  -2.2408,  68.2317,  15.5838,  43.7629,  16.1055, 201.3618, 8.0224e+03,   803,  0.96747 
   17,   2.8690,   4.6623,  19.2503,  -0.2177,  83.3161,   2.5659,  14.7316,   2.9831, 825.3057, 7.6092e+03,   803,  1.36416 
   18,   2.8730,   5.8983,  12.0637,   0.5819,  96.6539,   1.2978,   5.5487,   1.1262, 195.5247, 7.5863e+03,   803,  1.12588 
   19,   2.8770,   4.8754,  13.3314,   0.4822,  54.8959,   2.3347,  10.0885,   2.7680, 197.7365, 7.0865e+03,   803,  1.40838 
   20,   2.8810,   3.8126,  21.6905,   0.2350,  75.5162,   3.6585,  21.4851,   4.0717, 789.7922, 5.6831e+03,   803,  0.60739 
   21,   2.8850,   8.6545,  25.1994,  -3.4887,  34.5975, 206.5150, 105.7203, 207.1006, 304.5863, 6.1795e+03,   803,  0.71634 
   22,   2.8890,   8.7540,  24.8524,  -3.6670,  52.1478,  19.1875,  26.2812,  19.7516,  96.0143, 7.6069e+03,   803,  0.74820 
   23,   2.8930,   5.4548,  24.0063,  -1.5243,  56.5914,  12.7082,  32.9514,  13.2671, 195.6182, 7.8687e+03,   803,  1.05346 
   24,   2.8970,   4.2634,  11.1031,   1.8978,  66.8599,   1.4213,   7.6440,   1.4341,  41.0921, 6.5516e+03,   803,  0.70567 
   25,   2.9010,   5.9316,  12.2384,  -0.6923,  89.4635,   1.2708,   5.3001,   1.0950, 136.4039, 7.2646e+03,   803,  1.48905 
   26,   2.9050,   3.4406,  13.6968,   0.9809,  96.1114,   1.1468,   9.6682,   1.1807, 114.0149, 5.8445e+03,   803,  0.96783 
   27,   2.9090,   3.8379,  18.3461,   0.4576,  85.6547,   1.9307,  14.1531,   2.2693, 324.6683, 5.8751e+03,   803,  0.67789 
   28,   2.9130,   5.4913,  11.9300,   0.5883,  80.3003,   1.3708,   6.2358,   1.3308, 164.3925, 7.3538e+03,   803,  0.81652 
   29,   2.9170,   7.0005,  19.6492,  -1.9162,  96.6706,   2.1492,   9.2659,   2.5238, 104.9151, 7.6074e+03,   803,  1.16757 
   30,   2.9210,   7.3234,  13.5630,  -0.0886,  88.0665,   1.2675,   4.8995,   1.3474, 1231.6430, 6.4715e+03,   803,  0.99098 
   31,   2.9250,   6.0479,  21.3949,  -0.9880,  93.8998,   2.5912,  12.0711,   2.9831, 215.6844, 6.7337e+03,   803,  0.87418 
   32,   2.9290,   8.1229,  10.3956,  -0.1255,  94.4358,   1.2823,   3.1932,   0.8791, 719.4213, 6.2825e+03,   803,  1.06202 
   33,   2.9330,   4.4592,   8.3297,   2.8329,  50.1095,   1.7116,   6.3732,   1.4892,  20.2377, 6.5058e+03,   803,  0.92946 
   35,   2.9410,   6.0074,  14.2984,   0.8436,  47.0968,   4.0516,  11.1915,   4.6499, 135.6178, 7.7346e+03,   803,  1.05389 
   36,   2.9450,   8.8363,  17.2387,  -2.8032,  27.8907,  68.6720,  39.3841,  69.5099, 150.0051, 7.7738e+03,   803,  1.35479 
   37,   2.9490,   3.3454,  20.5664,   0.3071,  53.1476,   7.5350,  33.1085,   8.0351, 599.5186, 5.8460e+03,   803,  0.67288 
   38,   2.9530,   4.9863,  36.4576,  -0.8722,  37.9792, 115171.3374, 17367.3160, 115171.8914, 101686.6756, 7.2193e+03,   803,  1.21544 
   39,   2.9570,   5.7338,  17.8906,  -0.7066,  11.2954,  98.5629,  63.2144,  97.2106, 442.2668, 7.2608e+03,   803,  0.93110 
   40,   2.9610,   5.0055,  21.3946,  -0.5299,  38.3194,  32.9102,  51.5446,  33.5028, 638.2296, 6.1930e+03,   803,  0.64904 
   41,   2.9650,   8.0904,  22.8522,  -2.7016,  81.2939,   3.9096,  11.3276,   4.3395,  81.9471, 6.4280e+03,   803,  1.12427 
   42,   2.9690,  12.0691,  29.0141,  -6.0675,  58.0768,  22.9999,  23.5438,  23.4724,  73.6694, 5.9881e+03,   803,  1.03419 
   44,   2.9770,  13.0637,  25.1996,  -7.6176,  40.4787,  64.1267,  34.4446,  64.6914,  75.1298, 6.4212e+03,   803,  1.37580 
   45,   2.9810,  13.0840,  20.9424,  -6.8572,  27.8593, 159.6192,  40.6778, 160.0054,  86.9531, 6.7555e+03,   803,  1.13156 
   47,   2.9890,   5.5995,  15.7843,   0.2810,  89.9789,   1.5781,   8.5079,   1.8329, 510.1713, 7.7325e+03,   803,  1.05785 
   48,   2.9930,   6.0372,  12.6947,   0.6502,  40.9260,   4.2697,  10.4818,   4.9305, 156.9760, 7.5148e+03,   803,  0.79059 
   50,   3.0010,  14.3018,  24.8781,  -7.3775,  35.8831, 137.1237,  49.3893, 137.7174, 114.0327, 6.4671e+03,   803,  1.14275 
   51,   3.0050,  11.0202,  21.6136,  -4.1848,  45.7349,  16.3266,  16.2517,  16.8980,  62.5364, 6.7239e+03,   803,  0.97672 
   53,   3.0130,  12.8911,  26.3018,  -5.2085,  30.8558, 1779.4844, 304.2375, 1780.1500, 810.0793, 7.5588e+03,   803,  1.00489 
   54,   3.0170,   9.0715,  26.8102,  -3.7618,  73.2854,   7.4857,  15.3304,   7.9001,  75.3477, 5.2566e+03,   803,  0.81407 
   55,   3.0210,  10.0910,  17.7823,  -2.5285,  88.8137,   1.9028,   5.5358,   2.2464,  63.5323, 7.2251e+03,   803,  0.75386 
