yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
    0,   2.8010, 112.4652,   1.5001,   1.0241, 142.5706, 141.9888,   0.6147,   0.3426,  93.1863, 7.6475e+03,   796,  0.99484 
    1,   2.8050,   5.3195,  12.4617,   0.2473, 796931.6879,   1.3978,   5.0115,   0.4401, 9961114624.4109, 6.8206e+03,   796,  0.98502 
    2,   2.8090,  32.0051,  24.6527, -26.0572,  29.9925,  39.2291,   4.8720,  39.2649,   6.0014, 6.7576e+03,   796,  0.91351 
    3,   2.8130,  11.1179,  22.3569,  -4.9668,  34.1658, 105.7973,  53.4581, 106.7424, 141.8357, 8.4358e+03,   796,  0.98721 
    4,   2.8170,   6.6281,   9.6793,   1.3230,  57.9523,   1.8270,   5.1731,   1.4851,  50.2601, 6.1605e+03,   796,  0.69684 
    5,   2.8210,  56.1664,   1.9608,   2.8322,  33.9474,  54.9177,   0.8289,   0.8614,  10.5177, 6.4365e+03,   796,  0.68047 
    6,   2.8250,  12.8825,   4.4694,   1.3448, 126.1560,   6.7420,   1.8371,   0.4523,  69.2195, 7.2327e+03,   796,  1.09502 
    7,   2.8290, 148.5391,   1.1551,   2.1021,  59.2124, 436.2778,   0.8854,   0.4863,  17.5303, 7.2625e+03,   796,  0.77700 
    8,   2.8330,   4.5664,  16.9425,   0.3109, 379309.9052,   1.0974,   8.1932,   0.6406, 2449794165.0135, 7.9561e+03,   796,  1.11605 
    9,   2.8370,   3.1381,  30.4939,   0.1404, 201586.1576,   1.1768,  25.7723,   1.4556, 2880923099.2491, 6.8642e+03,   796,  1.05334 
   10,   2.8410,   3.4991,  25.2671,   0.2058, 262997.6090,   0.8934,  16.2874,   1.0163, 2507783923.7447, 6.5227e+03,   796,  1.48273 
   12,   2.8490,   4.6790,  17.1585,   0.1555, 229897.9757,   1.0964,   8.1855,   0.6568, 1839472283.9864, 8.1200e+03,   796,  1.20208 
   13,   2.8530,  95.6547,   1.4418,   2.4014,  25.9370, 165.6890,   0.8252,   1.0054,  10.7882, 6.0956e+03,   796,  1.05195 
   14,   2.8570,   5.5885,  14.5141,   0.2150, 351397.1555,   1.2301,   5.5778,   0.5242, 2576722672.3329, 7.3836e+03,   796,  1.05314 
   15,   2.8610,   5.0293,  16.6152,   0.5740, 931797.5609,   1.1808,   7.7089,   0.6623, 8316451600.9547, 8.8917e+03,   796,  0.82499 
   16,   2.8650,  15.2790,  36.0823, -11.5995,  45.9875, 655.0433, 198.6408, 655.7325, 303.6724, 7.9433e+03,   796,  0.93856 
   17,   2.8690,   5.1204,  16.0645,  -0.0386, 43488.1753,   1.1236,   6.7571,   0.5896, 241878767.7891, 7.5579e+03,   796,  1.31168 
   18,   2.8730,   5.7832,  13.0247,   0.2976, 716041.8845,   1.3982,   5.0014,   0.4801, 7231046679.0107, 7.5419e+03,   796,  1.17753 
   19,   2.8770,   4.8914,  13.2197,   0.2319, 297526.5999,   1.3290,   5.7779,   0.4700, 1564216216.5240, 7.0433e+03,   796,  1.44468 
   20,   2.8810,   3.7124,  24.0927,   0.0591, 143888.3976,   0.8094,  13.2894,   0.8767, 2291816741.9497, 5.6638e+03,   796,  0.59304 
   21,   2.8850,   4.8845,  17.9938,   0.1936, 724560.9563,   0.9162,   7.1741,   0.6041, 13329042634.8989, 6.1362e+03,   796,  0.68868 
   22,   2.8890,  20.2925,  27.6811, -14.6679,  35.8308, 455.2998,  87.1660, 456.1010, 135.6849, 7.5783e+03,   796,  0.72814 
   23,   2.8930,  13.8143,  32.0595, -10.2757,  38.8423, 1182.7968, 277.7908, 1183.5461, 412.5987, 7.8328e+03,   796,  1.06215 
