yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
    0,   2.8010,   9.4214,  31.7063,  -6.6286,  31.1206,   0.0000,   3.6400,   0.0000,   0.0000, 7.8378e+03,   796,  1.01960 
    1,   2.8050,  14.6110,  15.6816,  -9.7259,  15.3249,   7.9800, 9346.0000,   7.9800,   0.0000, 6.8520e+03,   796,  0.98954 
    2,   2.8090,  27.0311,  24.1788, -21.0803,  30.6514, 544.1000,  63.1000, 545.0000,  88.1000, 6.7578e+03,   796,  0.91353 
    3,   2.8130,   9.8593,  21.5314,  -3.6839,  36.2127,  57.1500,  40.5000,  58.0900, 133.4000, 8.4359e+03,   796,  0.98722 
    4,   2.8170,   6.6264,   9.6847,   1.3222,  57.9618,   1.8250,   5.1770,   1.4860,  50.3100, 6.1605e+03,   796,  0.69684 
    5,   2.8210,  56.1173,   1.9617,   2.8304,  33.9721,  54.7400,   0.8275,   0.8606,  10.5200, 6.4365e+03,   796,  0.68047 
    6,   2.8250,  12.8816,   4.4698,   1.3446, 126.1850,   6.7340,   1.8360,   0.4522,  69.2800, 7.2327e+03,   796,  1.09502 
    7,   2.8290,  84.4771,   1.3159,   2.0678,  60.2908, 242.4000,   1.1060,   0.4914,  18.2500, 7.2634e+03,   796,  0.77710 
    8,   2.8330,   5.5623,  25.6319,  -1.5137,  24.5949,   0.0000,   0.0000,   0.0000,   0.0000, 7.9914e+03,   796,  1.12100 
    9,   2.8370,   6.7764,  38.1647,  -3.6566,  39.9287,   0.0000,   0.0000,   0.0000,   0.0000, 6.8690e+03,   796,  1.05407 
   10,   2.8410,  10.2024,  18.8360,  -8.4512,  11.2345,  71.3000,  29.6100,  69.3800,  31.8700, 6.5246e+03,   796,  1.48318 
   12,   2.8490,  11.6353,  19.5555,  -7.0894,  19.2196,   0.0000,   0.0000,   0.0000,   0.0000, 8.1309e+03,   796,  1.20369 
   13,   2.8530,  12.2381,  14.7280,  -7.2528,  14.9620,   0.0000,   0.0000,   0.0000,   0.0000, 6.1796e+03,   796,  1.06644 
   14,   2.8570,   8.6022,  18.7691,  -3.3737,  19.7018,   0.0000, 4189.0000,   0.0000,   1.0400, 7.4061e+03,   796,  1.05636 
   15,   2.8610,  12.7266,  30.5276,  -8.3384,  30.1853,   0.0000,   0.0000,   0.0000,   0.0000, 9.0225e+03,   796,  0.83712 
   16,   2.8650,  11.8053,  34.6298,  -8.1175,  48.1718, 260.4000, 137.4000, 261.1000, 243.4000, 7.9434e+03,   796,  0.93858 
   17,   2.8690,  11.2812,   2.6458,   3.4329,  20.8021,  26.8800,   4.0910,   2.2400,  10.4100, 7.5443e+03,   796,  1.30931 
   18,   2.8730,  12.2226,  18.9515,  -7.0955,  19.3572,   0.0000,   0.0000,   0.0000,   0.0000, 7.5855e+03,   796,  1.18434 
   19,   2.8770,  12.1085,  17.0614,  -7.6195,  16.7847,   0.0000,   0.0000,   0.0000,   0.0000, 7.0697e+03,   796,  1.45011 
   20,   2.8810,   4.4012,  28.3227,  -0.7676,  39.9686, 169.5000, 210.7000, 170.2000, 1424.0000, 5.6649e+03,   796,  0.59315 
   21,   2.8850,   3.9054,  20.7154,   0.6033,  19.2051,   0.0000, 3453.0000,   0.0000,   0.0000, 6.1594e+03,   796,  0.69128 
   22,   2.8890,  17.2578,  26.9528, -11.6227,  36.9109, 251.7000,  68.9500, 252.5000, 117.5000, 7.5784e+03,   796,  0.72815 
   23,   2.8930,  11.7025,  31.4221,  -8.1613,  39.6910, 656.1000, 220.9000, 656.8000, 354.7000, 7.8329e+03,   796,  1.06216 
   24,   2.8970,   8.0543,   9.6864,   1.0073, 182.8780,   1.8320,   3.1300,   0.5610, 193.2000, 6.4193e+03,   796,  0.70399 
   26,   2.9050,   5.7355,   8.3701,   1.2120,  82.7484,   2.1120,   4.5010,   0.7987,  57.3500, 5.7823e+03,   796,  0.97198 
   27,   2.9090,   0.0000,   2.1366,   0.1158,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 5.7823e+03,   796,  0.64815 
   28,   2.9130,  47.3232,   1.7997,   3.1976,  26.1067,  80.4100,   1.2510,   1.2080,   9.3680, 7.2921e+03,   796,  0.78214 
   29,   2.9170,  10.5576,   8.5726,  -0.5552,   3.1048,   2.3330,   2.1870,   0.3613,   0.0000, 7.4910e+03,   796,  1.15015 
   30,   2.9210,   8.9063,   9.2957,   0.9012,  26.0398,   7.0020,   8.3620,   8.5530, 105.6000, 6.4248e+03,   796,  0.95907 
   31,   2.9250,   5.5625,  26.3469,  -1.1769, 108.9270,   3.6950,  19.8600,   4.1990, 298.8000, 6.6876e+03,   796,  0.86977 
   32,   2.9290,   7.3877,  11.2058,  -0.0812, 295.6060,   1.5070,   3.4990,   0.5227, 5397.0000, 6.2452e+03,   796,  1.03117 
   33,   2.9330,   9.5938,  35.8060,  -5.1228,  35.4773,   0.0000,   0.0000,   0.0000,   0.0000, 6.4981e+03,   796,  0.95310 
   35,   2.9410,  12.8720,  19.7337,  -7.2044,  19.7155,   0.0000,   0.0000,   0.0000,   0.0000, 7.6972e+03,   796,  1.02040 
   36,   2.9450,  15.2299,   9.7049,  -8.5072,   7.1648, 617.8000,  52.9600, 612.0000,  94.5400, 7.7254e+03,   796,  1.44502 
   37,   2.9490,   8.3707,  14.3955,  -2.4681,  14.2179,   0.0000,   0.0000,   0.0000,   0.0000, 5.6842e+03,   796,  0.63101 
   38,   2.9530,  10.3353,  33.9603,  -5.5946,  34.2015,   0.0000,   0.0000,   0.0000,   0.0000, 6.9994e+03,   796,  1.17984 
   39,   2.9570,  18.5052,  23.2235, -11.9868,  29.3321, 588.9000,  94.3900, 589.9000, 157.8000, 7.1473e+03,   796,  0.97148 
   40,   2.9610,   0.0000,  11.8835,   2.8127,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 7.1473e+03,   796,  0.72358 
   41,   2.9650,  12.9332,   8.3204, -11.9583,   3.9733,  56.4200,  10.4200,  43.5600,  13.0400, 6.6623e+03,   796,  1.14928 
   42,   2.9690,  22.2463,  31.8672, -15.7899,  44.3018, 212.2000,  55.1300, 212.8000,  92.8600, 5.9667e+03,   796,  1.02078 
   44,   2.9770,  25.8588,  26.6100, -19.9298,  33.1914, 657.9000,  80.9100, 658.7000, 114.4000, 6.4015e+03,   796,  1.43121 
   45,   2.9810,   0.0000,   7.1060,   2.6201,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 6.4015e+03,   796,  1.04612 
   46,   2.9850,  14.9817,  17.1014,  -8.0361,  22.5321, 440.4000,  78.1700, 441.8000, 157.3000, 8.6702e+03,   796,  1.48149 
   47,   2.9890,   4.9895,  19.7621,   0.0665,  91.1713,   2.3940,  14.8500,   2.9000, 3061.0000, 7.6643e+03,   796,  1.01954 
